"Default welcome msg!","Ciao!"
"My Product Reviews","Le Mie Recensioni"
"Current Password","Password Attuale"
"Confirm New Password","Ripeti Nuova Password"
"Default Billing Address","Indirizzo Fatturazione Predefinito"
"Default Shipping Address","Indirizzo Spedizione Predefinito"
"You have not set a default billing address.","Non hai impostato un indirizzo di fatturazione predefinito."
"You have not set a default shipping address.","Non hai impostato un indirizzo di spedizione predefinito."
"Edit Account Information","Modifica Informazioni Account"
"Edit Address","Modifica Indirizzo"
"Change Billing Address","Modifica Indirizzo"
"Change Shipping Address","Modifica Indirizzo"
"Save Address","Salva Indirizzo"
"It's a default billing address.","Questo è l'indirizzo di fatturazione predefinito."
"It's a default shipping address.","Questo è l'indirizzo di spedizione predefinito."
"Use as my default billing address","Usa come indirizzo di fatturazione predefinito"
"Use as my default shipping address","Usa come indirizzo di spedizione predefinito"
"Contact Information","Informazioni Contatto"
"Add New Address","Aggiungi Nuovo Indirizzo"
"New Address","Nuovo Indirizzo"
"Additional Address Entries","Altri Indirizzi"
"Default Addresses","Indirizzi Predefiniti"
"Newsletter Subscriptions","Iscrizione Newsletter"
"Newsletter Subscription","Iscrizione Newsletter"
"General Subscription","Newsletter Mensile"
"You are subscribed to ""General Subscription"".","Iscrizione alla ""Newsletter Mensile""."
"Subscription option","Opzioni Iscrizione"
"We have removed your newsletter subscription.","La tua iscrizione alla newsletter è stata cancellata."
"We have saved your subscription.","La tua iscrizione alla newsletter è stata salvata."
"Compare Products","Confronta Articoli"
"You have no items in your wish list.","Non hai articoli nella lista desideri."
"You have no items to compare.","Non hai articoli da confrontare."
"You have placed no orders.","Non hai ancora effettuato ordini."
"You have no other address entries in your address book.","Non hai altri indirizzi in rubrica."
"You have no items in your shopping cart.","Non hai articoli nel carrello."
"Popular Search Terms","Termini di Ricerca Popolari"
"Search Terms","Termini di Ricerca"
"Invalid email format","Formato email non valido."
"Place Order","INVIA ORDINE"
"Sign Up for Our Newsletter","Iscrizione Newsletter"
"Order Comment","Note Ordine"
"Apply Discount Code","Applica Codice Sconto"
"Apply Discount","Applica Sconto"
"Qty","Q.tà"
"Order Total","TOTALE (IVA Inclusa)"
"Tax","Totale IVA"
"Email Address","Email"
"Cart Subtotal","Totale Merce (IVA Esclusa)"
"View and Edit Cart","Visualizza e Modifica Carrello"
"Remove item","Rimuovi Articolo"
"Remove Item","Rimuovi Articolo"
"Billing Address","Indirizzo Fatturazione"
"Shipping Address","Indirizzo Spedizione"
"Delivery","Consegna"
"Shipping Method","Metodo Spedizione"
"Shipping Methods","Metodo Spedizione"
"Payment Method","Metodo Pagamento"
"Please update or cancel Billing Address Form.","Inserisci l'indirizzo di spedizione."
"To register an account simply add a password.","Per registrare un account digita semplicemente una password."
"Please confirm your password.","Riscrivi la tua password."
"optional","Opzionale"
"We'll send your order confirmation here.","Invieremo la conferma d'ordine a questo indirizzo email."
"Submit Review","Invia Recensione"
"You submitted your review for moderation.","Hai inviato la tua recensione."
"Move to Wishlist","Sposta nella Lista Desideri"
"Item","Articolo"
"Edit item parameters","Modifica Articolo"
"Estimate Shipping and Tax","Stima Spedizione e Tasse"
"Enter your destination to get a shipping estimate.","Inserisci la destinazione per calcolare il costo della spedizione."
"Update Wish List","Aggiorna Lista Desideri"
"Share Wish List","Condividi Lista Desideri"
"Add All to Cart","Aggiungi Tutto al Carrello"
"Go to Wish List","Vai alla Lista Desideri"
"Comment","Annotazioni personali"
"Remove This Item","Rimuovi Questo Articolo"
"You added %1 to your <a href=""%2"">shopping cart</a>.","Hai aggiunto %1 al <a href=""%2"">carrello</a>."
"Add to Compare","Aggiungi al Confronto"
"Add to Wish List","Aggiungi alla Lista Desideri"
"Set Ascending Direction","Imposta Ordinamento Crescente"
"Set Descending Direction","Imposta Ordinamento Decrescente"
"Learn More","Maggiori Informazioni"
"%1 has been removed from your Wish List.","Hai rimosso %1 dalla Lista Desideri."
"%1 has been added to your Wish List.","Hai aggiunto %1 alla Lista Desideri."
"Click <a href=""%1"">here</a> to continue shopping.","<a href=""%1"">Clicca qui</a> per proseguire gli acquisti."
"Wish List Sharing","Condividi Lista Desideri"
"Sharing Information","Informazioni Condivisione"
"Email addresses, separated by commas","Indirizzi email (separati da virgole)"
"Ship here","Spedisci Qui"
"Ship Here","Spedisci Qui"
"Save in address book","Salva nella rubrica indirizzi"
"You're reviewing:","Scrivi una recensione su:"
"Be the first to review this product","Scrivi una recensione su questo articolo"
"Availability","Disponibilità"
"T.","Tel."
"F.","Cell."
"Print receipt","Stampa Ricevuta"
"Shipping & Handling","Spedizione (IVA Esclusa)"
"Grand Total","TOTALE (IVA Inclusa)"
"Order Date:","Data Ordine:"
"Order details:","Informazioni Ordine:"
"Subtotal","Totale (IVA Esclusa)"
"Order # %1","Ordine N. %1"
"Items Ordered","Articoli Ordinati"
"Order #","Ordine N."
"Your order number is:","Ordine N."
"View Order","Visualizza"
"View All","Mostra Tutti"
"Recent Orders","Ordini Recenti"
"Recently Ordered","Ordinati Recentemente"
"Ship To","Destinatario"
"Ship Company","Presso"
"Are you sure you want to delete this address?","Vuoi eliminare questo indirizzo?"
"State","Prov."
"Billing ZIP Code","CAP Fatturazione"
"Are you sure you would like to remove this item from the shopping cart?","Vuoi rimuovere questo articolo dal carrello?"
"Processing","In Lavorazione"
"Pending Payment","Attesa Pagamento"
"On Hold","In Sospeso"
"Suspected Fraud","Sospetta Frode"
"Pending","In Attesa"
"My billing and shipping address are the same","Gli indirizzi di fatturazione e spedizione coincidono"
"Name Prefix","Titolo"
"Please enter a valid zip code (Ex: 90602).","Inserisci un CAP valido (Es. 20851)."
"Checkout as a new customer","Acquista come Nuovo Cliente"
"Checkout using your account","Acquista usando il Tuo Account"
"I Agree","Accetto"
"Additional Information","Informazioni Aggiuntive"
"As low as","A partire da"
"Regular Price","Prezzo Pieno"
"Related Products","Articoli Correlati"
"We found other products you might like!","Abbiamo trovato altri articoli che ti potrebbero interessare!"
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Acquistane %1 a %2 (cad.) - <strong class=""benefit"">Sconto<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Show Password","Mostra Password"
"Allow remote shopping assistance","Consenti Assistenza Remota sugli acquisti"
"This allows merchants to ""see what you see"" and take actions on your behalf in order to provide better assistance.","Consenti al venditore di ""vedere ciò che vedi"" ed intraprendere azioni per tuo conto al fine di fornire una migliore assistenza."
"Street Address *","Indirizzo *"

